year,reach,period,LifeStage,mortality,encounters
2022,Lower (below Dalles),44,jack,0,0
2022,Lower (below Dalles),45,jack,0,0
2022,Lower (below Dalles),46,jack,0,0
2022,Lower (below Dalles),47,jack,0,0
2022,Lower (below Dalles),48,jack,0,0
2022,Upper (above Dalles),48,jack,0,0
2023,Upper (above Dalles),37,adult,0.2632,2.6319999999999997
2023,Upper (above Dalles),38,adult,5.7625,57.62500000000001
2023,Upper (above Dalles),39,adult,1.7778,17.778
2023,Upper (above Dalles),40,adult,0,0
2023,Upper (above Dalles),41,adult,0,0
2023,Upper (above Dalles),42,adult,0,0
2023,Upper (above Dalles),43,adult,0,0
2023,Upper (above Dalles),44,adult,0,0
2023,Upper (above Dalles),45,adult,0,0
2023,Upper (above Dalles),46,adult,0,0
2023,Upper (above Dalles),47,adult,0,0
2023,Upper (above Dalles),48,adult,0,0
2023,Lower (below Dalles),33,adult,1.9939,19.939
2023,Lower (below Dalles),34,adult,0,0
2023,Lower (below Dalles),35,adult,1.3635,13.635
2023,Lower (below Dalles),36,adult,1.0894000000000001,10.894
2023,Lower (below Dalles),37,adult,3.89775,38.9775
2023,Lower (below Dalles),38,adult,2.6245000000000003,26.244999999999997
2023,Lower (below Dalles),39,adult,0,0
2023,Lower (below Dalles),40,adult,2.84975,28.4975
2023,Lower (below Dalles),41,adult,0,0
2023,Lower (below Dalles),42,adult,0,0
2023,Lower (below Dalles),43,adult,1.0011,10.011
2023,Lower (below Dalles),44,adult,0,0
2023,Lower (below Dalles),45,adult,0,0
2023,Lower (below Dalles),46,adult,1.3293333335,13.293333334999996
2023,Lower (below Dalles),47,adult,0,0
2023,Lower (below Dalles),48,adult,0,0
2023,Lower (below Dalles),33,jack,0,0
2023,Lower (below Dalles),34,jack,0,0
2023,Lower (below Dalles),35,jack,0,0
2023,Lower (below Dalles),36,jack,0,0
2023,Lower (below Dalles),37,jack,0,0
2023,Upper (above Dalles),37,jack,0,0
2023,Lower (below Dalles),38,jack,0,0
2023,Upper (above Dalles),38,jack,0,0
2023,Lower (below Dalles),39,jack,0,0
2023,Upper (above Dalles),39,jack,0,0
2023,Lower (below Dalles),40,jack,0.3869,3.869
2023,Upper (above Dalles),40,jack,0,0
2023,Lower (below Dalles),41,jack,1.5515,15.515
2023,Upper (above Dalles),41,jack,0,0
2023,Lower (below Dalles),42,jack,0,0
2023,Upper (above Dalles),42,jack,0,0
2023,Lower (below Dalles),43,jack,0,0
2023,Upper (above Dalles),43,jack,0,0
2023,Lower (below Dalles),44,jack,0,0
2023,Upper (above Dalles),44,jack,0,0
